success,cache_line_sz,cache_queue_size,cache_size,cache_hit_latency,cache_bandwidth,cycle,power,area
TRUE,64,128,16384,2,13,68677,60.5946,1086710
TRUE,16,128,65536,2,6,73807,74.357,2056710
TRUE,64,64,65536,3,14,68907,72.7513,1671260
TRUE,16,32,65536,2,11,74022,74.1698,2056710
TRUE,16,128,32768,2,15,73704,64.5979,1468150
TRUE,32,32,16384,4,14,75971,55.3931,1073220
TRUE,64,64,32768,4,7,71921,61.0803,1294760
TRUE,64,128,131072,3,14,68642,126.64,2871060
TRUE,64,128,32768,4,13,72168,61.3078,1294760
TRUE,32,32,32768,3,13,70559,64.4647,1338930
TRUE,16,32,32768,2,10,73744,64.0435,1423610
TRUE,16,32,65536,3,14,76383,72.0995,2056710
TRUE,16,128,65536,3,7,76698,71.3389,2012170
TRUE,16,128,32768,1,12,70988,66.5561,1458260
TRUE,64,32,32768,1,14,63849,68.492,1329420
TRUE,32,64,32768,1,7,65862,67.7935,1293630
TRUE,64,32,32768,2,10,66967,65.1182,1294760
TRUE,64,32,65536,1,5,64061,77.7496,1661370
TRUE,16,128,16384,1,7,75851,58.3887,1116910
TRUE,32,64,16384,3,11,72809,57.1243,1072450
TRUE,32,64,32768,4,5,74580,61.1038,1293250
TRUE,16,64,16384,2,11,78421,56.9251,1126790
TRUE,64,128,131072,3,13,68769,126.466,2871060
TRUE,64,64,131072,1,8,64113,136.901,2861180
TRUE,64,32,32768,4,4,72060,61.3781,1294760
TRUE,32,32,16384,2,16,70302,59.471,1116990
TRUE,16,128,32768,4,16,76648,62.1108,1445110
TRUE,64,64,131072,2,7,66911,132.296,2871060
TRUE,32,64,32768,1,13,66255,68.0124,1338170
TRUE,32,32,65536,4,6,73959,70.3029,1836080
TRUE,16,64,65536,2,14,73259,74.1861,2012170
TRUE,64,64,32768,1,9,63175,68.0975,1284880
TRUE,16,32,65536,4,9,77173,71.1446,2033670
TRUE,16,128,32768,2,12,73228,64.9179,1468150
TRUE,32,32,65536,1,14,66163,76.6123,1781660
TRUE,64,128,131072,3,16,68827,126.347,2871060
TRUE,32,32,16384,2,13,69850,59.227,1072450
TRUE,16,128,16384,3,6,81974,54.8561,1126790
TRUE,16,32,131072,3,9,76736,129.518,3154290
TRUE,64,64,16384,1,4,65432,62.2715,1032280
TRUE,32,64,32768,4,11,74551,61.7731,1338930
TRUE,64,64,16384,1,9,64807,62.7388,1032280
TRUE,32,128,16384,2,11,70553,59.64,1117760
TRUE,16,64,65536,1,7,70213,77.4116,2046830
TRUE,64,128,32768,1,6,64573,67.3025,1284880
TRUE,32,128,65536,1,8,65732,77.0278,1781660
TRUE,16,128,65536,2,11,75026,72.8294,2012170
TRUE,32,64,131072,4,12,73995,121.897,3101220
TRUE,32,64,131072,2,8,68942,131.146,3145760
TRUE,32,128,65536,2,15,69226,74.5645,1836080
TRUE,32,64,16384,1,12,66851,61.4311,1072450
TRUE,64,64,16384,4,7,73130,56.4529,1042170
TRUE,32,128,32768,2,5,68826,66.266,1338930
TRUE,64,64,32768,4,4,71953,61.4547,1294760
TRUE,16,128,65536,1,14,70354,77.2724,2046830
TRUE,64,128,65536,3,11,68607,73.0023,1671260
TRUE,64,32,32768,3,10,68314,63.6242,1294760
TRUE,32,32,65536,4,9,73619,69.9933,1791540
TRUE,32,32,131072,3,15,70332,127.967,3100460
TRUE,16,64,65536,2,9,73173,74.2789,2012170
